사이트분류,대분류,중분류,소분류,주요 기능 및 설명,비고
관리자페이지(admin.html / admin.js),관리자 기능,고객사/테마 관리,고객사별 멀티 사이트 운영,"단일 고객사 내 다수 사이트(Site) 동적 생성 및 탭 기반 관리 아키텍처 제공",
관리자페이지(admin.html / admin.js),관리자 기능,고객사/테마 관리,브랜드 에디터 동기화,"사이트별 로고(Base64), 컬러(HEX 프리뷰), CS번호 등의 탭 기반 실시간 독립 관리 제공",
관리자페이지(admin.html / admin.js),관리자 기능,회원 등급 및 권한 관리,Dual List Box (셔틀박스),"사이트 신규 생성 및 메뉴 권한 할당 시, 다차원 실시간 검색/다중선택을 지원하는 셔틀박스 컴포넌트 탑재",
관리자페이지(admin.html / admin.js),관리자 기능,회원 등급 및 권한 관리,데이터 격리 예외 처리,"사이트 간 등급 중복 할당 방지를 위한 취소선 및 Disabled 비활성화 배지 실시간 동기화",
관리자페이지(admin.html / admin.js),관리자 기능,메뉴 노출 및 명칭 관리,글로벌 메뉴 동기화,"특정 사이트 메뉴 추가 시, 전체 타사 사이트 모델에 미노출(isVisible:false) 상태로 계층 동기화 방어 로직",
관리자페이지(admin.html / admin.js),관리자 기능,메뉴 노출 및 명칭 관리,상하위 메뉴 일괄 토글,"상위 카테고리 비활성화 시, 재귀 탐색을 통해 하위 메뉴 동시 비활성화 일괄 제어",
관리자페이지(admin.html / admin.js),관리자 기능,건강검진 설정 (제휴 병원),병원 기본/담당자 정보 관리,"병원명, 주소, 예약 및 계약 담당자 별도 연락처 분리 관리",
관리자페이지(admin.html / admin.js),관리자 기능,건강검진 설정 (패키지),패키지 및 항목 관리,"제공 연도/B2C 설정, 기본/선택/추가 검사항목의 동적 마스터 풀(Pool) 등록 관리",
관리자페이지(admin.html / admin.js),관리자 기능,건강정보 관리,게시글 등록 및 수정,"시각적(WYSIWYG) 에디터 및 HTML/CSS 에디터 양방향 동기화, 로컬 이미지 Base64 자동 변환 삽입",
사용자페이지(index.html / app.js),건강검진 예약,건강검진 우대 예약,병원 상세정보 다중 탭 모달,"병원 리스트에서 클릭 시 병원 안내 및 검진항목 다중 탭(Tab)이 포함된 모달 인터페이스 제공",
사용자페이지(index.html / app.js),건강검진 예약,건강검진 우대 예약,검진항목 3단 서브 탭 UI,"기본, 선택, 추가 검사항목별 세분화된 병합 테이블 UI 및 포털 블루 테마 적용",
사용자페이지(index.html / app.js),건강검진 예약,건강검진 우대 예약,스마트 예약 일정 캘린더,"휴일/마감/가능 상태 시각화 및 당월 마감 시 예약 가능 월로 자동 이동하는 스마트 탐색 캘린더 탑재",
사용자페이지(index.html / app.js),건강검진 예약,예약 진행 단계,STEP 3 검진항목 다이내믹 UI,"기본검사 아코디언(장비검사 노출), 선택검사 필수 선택 렌더링 및 추가검사 가이드 텍스트 고도화",
사용자페이지(index.html / app.js),건강검진 예약,예약 진행 단계,과거검진신청이력 모달,"최근 5년간 확정된 검진 이력 연도별 조회 및 본인/가족 3단 탭 UI 레이아웃 제공",
사용자페이지(index.html / app.js),건강검진 예약,건강검진 우대 예약,건강검진 신청이력 조회,"예약신청 완료 후 로그인화면이 아닌 건강검진 신청이력 메뉴로 연동 및 신청자 본인/가족 기준의 신청 이력 목록 화면 제공 (이력 없음 안내 포함)",
사용자페이지(index.html / app.js),건강검진 예약,건강검진 우대 예약,신청이력 상세보기 아코디언,"이력 목록 우측 상세보기 클릭 시 접기/펴기가 가능한 상세 내역 아코디언 UI 제공 및 필터 기능 연동",
